path,size,sha256,source_repo,tag,date,license,purpose
launcher/elf-launcher.elf,4367608,c7939070c40e5224db65cfa34311ae5511cd1c27476c9d9fdf76f9511546be36,https://github.com/X-F1REBALL-X/elf-launcher,0.0.7,2026-09-26,own,Installs the home tile and serves the launcher page from the console
debug/gdbsrv-ps5.elf,174248,80952d75f423768b95385f0944e5a5c2f417dcc10c22c1bb6516a923ad8894e5,https://github.com/ps5-payload-dev/gdbsrv,v0.9,2026-08-02,GPL-3.0,GDB stub server for PS5
debug/klogsrv-ps5.elf,136016,e828ec144231f81547cb58bc7d2c396fa984be0c2295f31364b58017816dcceb,https://github.com/ps5-payload-dev/klogsrv,v0.9,2026-08-02,GPL-3.0,Kernel log server
debug/notify_test.elf,109496,a06cf9ace6e13f3c0241a709c6a8d23969d74e6559ec2a2290298f480f62da79,https://github.com/MasterPS0/PS5-Power-Payloads-Project,1.0,2026-07-06,NOASSERTION,Notification test payload
debug/ps5debug-NG.elf,4059688,949b0e6e0fe3f24f4a820319fd76d9ccb92f9770cbb1a64b09a8eca5c1fc9ff3,https://github.com/Pharaoh2k/ps5debug-NG,1.3.2,2026-09-23,GPL-3.0,PS5 debugger (userland TCP in SceShellCore)
debug/ps5debug.elf,164992,f08bba73cc93b4555e5b3ce1a1b7968ef54490bbc8a00fd4aff3e448409fef00,https://github.com/someguythatmods/ps5debug,0.0.1,2025-02,unknown,Classic PS5Debug ELF (older)
cheats/CheatRunner.elf,9502120,2f296d3f1e69b65439bb5dc362f0f6504f6dc9f245fa16a3683e9d7ec9533773,https://github.com/notmaj0r/CheatRunner,v0.17,2026-07-30,unknown,Cheat trainer homebrew
apps/PS5HostPayloads.elf,22095424,8210b32f1910f4949959ba31d14ae150809672f02df6c9c32eafca41374e261b,https://github.com/MasterPS0/PS5HostPayloads,1.0,2026,NOASSERTION,Host payloads bundle ELF
pkg/fetchpkg.elf,8217472,f4dfd1986a5c8de568fc385b7e9302532ed6c56bf98014c19ac6b23c87729921,https://github.com/ps5-payload-dev/fetchpkg,v0.3.3,2026-04-03,unknown,PKG fetch helper for PS5
apps/kura-loader-ps5.elf,8581600,8bac520b2b99dcda8109838884380605736d8b1c23793754250bcef00536b6ab,https://github.com/NookieAI/kura,v1.6.50,2026,unknown,Kura console-side loader payload
